id	family	voltage_raw	current_raw	voltage_factor	current_factor	polarity	mv	ma_integer	watts_milli_precision	current_ua	signed_ma	signed_watts	voltage_uv	power_mw
32	scale-sign	3700	31000	1000	1000000	inverted	3700	31	0.114	31000	-31.000	-0.1147	3700000	114
33	scale-sign	3700	-50	1000	1000	normal	3700	-50	0.185	-50000	-50.00	-0.185	3700000	185
34	scale-sign	3700	-50	1000	1000	inverted	3700	-50	0.185	-50000	50.00	0.185	3700000	185
35	scale-sign	3700	50	1000	1000	normal	3700	50	0.185	50000	50.00	0.185	3700000	185
36	scale-sign	3700	50	1000	1000	inverted	3700	50	0.185	50000	-50.00	-0.185	3700000	185
37	scale-sign	3700	-50000	1000	1000000	normal	3700	-50	0.185	-50000	-50.00	-0.185	3700000	185
38	scale-sign	3700	-50000	1000	1000000	inverted	3700	-50	0.185	-50000	50.00	0.185	3700000	185
39	scale-sign	3700	50000	1000	1000000	normal	3700	50	0.185	50000	50.00	0.185	3700000	185
40	scale-sign	3700	50000	1000	1000000	inverted	3700	50	0.185	50000	-50.00	-0.185	3700000	185
41	scale-sign	3700	-51	1000	1000	normal	3700	-51	0.188	-51000	-51.000	-0.1887	3700000	188
42	scale-sign	3700	-51	1000	1000	inverted	3700	-51	0.188	-51000	51.000	0.1887	3700000	188
43	scale-sign	3700	51	1000	1000	normal	3700	51	0.188	51000	51.000	0.1887	3700000	188
44	scale-sign	3700	51	1000	1000	inverted	3700	51	0.188	51000	-51.000	-0.1887	3700000	188
45	scale-sign	3700	-51000	1000	1000000	normal	3700	-51	0.188	-51000	-51.000	-0.1887	3700000	188
46	scale-sign	3700	-51000	1000	1000000	inverted	3700	-51	0.188	-51000	51.000	0.1887	3700000	188
47	scale-sign	3700	51000	1000	1000000	normal	3700	51	0.188	51000	51.000	0.1887	3700000	188
48	scale-sign	3700	51000	1000	1000000	inverted	3700	51	0.188	51000	-51.000	-0.1887	3700000	188
49	scale-sign	3700	-895	1000	1000	normal	3700	-895	3.311	-895000	-895.000	-3.3115	3700000	3311
50	scale-sign	3700	-895	1000	1000	inverted	3700	-895	3.311	-895000	895.000	3.3115	3700000	3311
51	scale-sign	3700	895	1000	1000	normal	3700	895	3.311	895000	895.000	3.3115	3700000	3311
52	scale-sign	3700	895	1000	1000	inverted	3700	895	3.311	895000	-895.000	-3.3115	3700000	3311
53	scale-sign	3700	-895000	1000	1000000	normal	3700	-895	3.311	-895000	-895.000	-3.3115	3700000	3311
54	scale-sign	3700	-895000	1000	1000000	inverted	3700	-895	3.311	-895000	895.000	3.3115	3700000	3311
55	scale-sign	3700	895000	1000	1000000	normal	3700	895	3.311	895000	895.000	3.3115	3700000	3311
56	scale-sign	3700	895000	1000	1000000	inverted	3700	895	3.311	895000	-895.000	-3.3115	3700000	3311
57	scale-sign	3700	-2000	1000	1000	normal	3700	-2000	7.400	-2000000	-2000	-7.4	3700000	7400
58	scale-sign	3700	-2000	1000	1000	inverted	3700	-2000	7.400	-2000000	2000	7.4	3700000	7400
59	scale-sign	3700	2000	1000	1000	normal	3700	2000	7.400	2000000	2000	7.4	3700000	7400
60	scale-sign	3700	2000	1000	1000	inverted	3700	2000	7.400	2000000	-2000	-7.4	3700000	7400
61	scale-sign	3700	-2000000	1000	1000000	normal	3700	-2000	7.400	-2000000	-2000	-7.4	3700000	7400
62	scale-sign	3700	-2000000	1000	1000000	inverted	3700	-2000	7.400	-2000000	2000	7.4	3700000	7400
63	scale-sign	3700	2000000	1000	1000000	normal	3700	2000	7.400	2000000	2000	7.4	3700000	7400
64	scale-sign	3700	2000000	1000	1000000	inverted	3700	2000	7.400	2000000	-2000	-7.4	3700000	7400
65	scale-sign	3700	-20000	1000	1000	normal	3700	-20000	74.000	-20000000	-20000	-74.0	3700000	74000
66	scale-sign	3700	-20000	1000	1000	inverted	3700	-20000	74.000	-20000000	20000	74.0	3700000	74000
67	scale-sign	3700	20000	1000	1000	normal	3700	20000	74.000	20000000	20000	74.0	3700000	74000
68	scale-sign	3700	20000	1000	1000	inverted	3700	20000	74.000	20000000	-20000	-74.0	3700000	74000
69	scale-sign	3700	-20000000	1000	1000000	normal	3700	-20000	74.000	-20000000	-20000	-74.0	3700000	74000
70	scale-sign	3700	-20000000	1000	1000000	inverted	3700	-20000	74.000	-20000000	20000	74.0	3700000	74000
71	scale-sign	3700	20000000	1000	1000000	normal	3700	20000	74.000	20000000	20000	74.0	3700000	74000
72	scale-sign	3700	20000000	1000	1000000	inverted	3700	20000	74.000	20000000	-20000	-74.0	3700000	74000
73	scale-sign	3700	-100000	1000	1000	normal	3700	-100000	370.000	-100000000	-100000	-370.0	3700000	370000
74	scale-sign	3700	-100000	1000	1000	inverted	3700	-100000	370.000	-100000000	100000	370.0	3700000	370000
75	scale-sign	3700	100000	1000	1000	normal	3700	100000	370.000	100000000	100000	370.0	3700000	370000
76	scale-sign	3700	100000	1000	1000	inverted	3700	100000	370.000	100000000	-100000	-370.0	3700000	370000
77	scale-sign	3700	-100000000	1000	1000000	normal	3700	-100000	370.000	-100000000	-100000	-370.0	3700000	370000
78	scale-sign	3700	-100000000	1000	1000000	inverted	3700	-100000	370.000	-100000000	100000	370.0	3700000	370000
79	scale-sign	3700	100000000	1000	1000000	normal	3700	100000	370.000	100000000	100000	370.0	3700000	370000
80	scale-sign	3700	100000000	1000	1000000	inverted	3700	100000	370.000	100000000	-100000	-370.0	3700000	370000
81	scale-sign	3700000	0	1000000	1000	normal	3700	0	0.000	0	0	0.0	3700000	0
82	scale-sign	3700000	0	1000000	1000	inverted	3700	0	0.000	0	-0	-0.0	3700000	0
83	scale-sign	3700000	0	1000000	1000	normal	3700	0	0.000	0	0	0.0	3700000	0
84	scale-sign	3700000	0	1000000	1000	inverted	3700	0	0.000	0	-0	-0.0	3700000	0
85	scale-sign	3700000	0	1000000	1000000	normal	3700	0	0.000	0	0	0.0	3700000	0
86	scale-sign	3700000	0	1000000	1000000	inverted	3700	0	0.000	0	-0	-0.0	3700000	0
87	scale-sign	3700000	0	1000000	1000000	normal	3700	0	0.000	0	0	0.0	3700000	0
88	scale-sign	3700000	0	1000000	1000000	inverted	3700	0	0.000	0	-0	-0.0	3700000	0
89	scale-sign	3700000	-1	1000000	1000	normal	3700	-1	0.003	-1000	-1.000	-0.0037	3700000	3
90	scale-sign	3700000	-1	1000000	1000	inverted	3700	-1	0.003	-1000	1.000	0.0037	3700000	3
91	scale-sign	3700000	1	1000000	1000	normal	3700	1	0.003	1000	1.000	0.0037	3700000	3
92	scale-sign	3700000	1	1000000	1000	inverted	3700	1	0.003	1000	-1.000	-0.0037	3700000	3
93	scale-sign	3700000	-1000	1000000	1000000	normal	3700	-1	0.003	-1000	-1.000	-0.0037	3700000	3
94	scale-sign	3700000	-1000	1000000	1000000	inverted	3700	-1	0.003	-1000	1.000	0.0037	3700000	3
95	scale-sign	3700000	1000	1000000	1000000	normal	3700	1	0.003	1000	1.000	0.0037	3700000	3
96	scale-sign	3700000	1000	1000000	1000000	inverted	3700	1	0.003	1000	-1.000	-0.0037	3700000	3
97	scale-sign	3700000	-30	1000000	1000	normal	3700	-30	0.111	-30000	-30.00	-0.111	3700000	111
98	scale-sign	3700000	-30	1000000	1000	inverted	3700	-30	0.111	-30000	30.00	0.111	3700000	111
99	scale-sign	3700000	30	1000000	1000	normal	3700	30	0.111	30000	30.00	0.111	3700000	111
100	scale-sign	3700000	30	1000000	1000	inverted	3700	30	0.111	30000	-30.00	-0.111	3700000	111
101	scale-sign	3700000	-30000	1000000	1000000	normal	3700	-30	0.111	-30000	-30.00	-0.111	3700000	111
102	scale-sign	3700000	-30000	1000000	1000000	inverted	3700	-30	0.111	-30000	30.00	0.111	3700000	111
103	scale-sign	3700000	30000	1000000	1000000	normal	3700	30	0.111	30000	30.00	0.111	3700000	111
104	scale-sign	3700000	30000	1000000	1000000	inverted	3700	30	0.111	30000	-30.00	-0.111	3700000	111
105	scale-sign	3700000	-31	1000000	1000	normal	3700	-31	0.114	-31000	-31.000	-0.1147	3700000	114
106	scale-sign	3700000	-31	1000000	1000	inverted	3700	-31	0.114	-31000	31.000	0.1147	3700000	114
107	scale-sign	3700000	31	1000000	1000	normal	3700	31	0.114	31000	31.000	0.1147	3700000	114
108	scale-sign	3700000	31	1000000	1000	inverted	3700	31	0.114	31000	-31.000	-0.1147	3700000	114
109	scale-sign	3700000	-31000	1000000	1000000	normal	3700	-31	0.114	-31000	-31.000	-0.1147	3700000	114
110	scale-sign	3700000	-31000	1000000	1000000	inverted	3700	-31	0.114	-31000	31.000	0.1147	3700000	114
111	scale-sign	3700000	31000	1000000	1000000	normal	3700	31	0.114	31000	31.000	0.1147	3700000	114
112	scale-sign	3700000	31000	1000000	1000000	inverted	3700	31	0.114	31000	-31.000	-0.1147	3700000	114
113	scale-sign	3700000	-50	1000000	1000	normal	3700	-50	0.185	-50000	-50.00	-0.185	3700000	185
114	scale-sign	3700000	-50	1000000	1000	inverted	3700	-50	0.185	-50000	50.00	0.185	3700000	185
115	scale-sign	3700000	50	1000000	1000	normal	3700	50	0.185	50000	50.00	0.185	3700000	185
116	scale-sign	3700000	50	1000000	1000	inverted	3700	50	0.185	50000	-50.00	-0.185	3700000	185
117	scale-sign	3700000	-50000	1000000	1000000	normal	3700	-50	0.185	-50000	-50.00	-0.185	3700000	185
118	scale-sign	3700000	-50000	1000000	1000000	inverted	3700	-50	0.185	-50000	50.00	0.185	3700000	185
119	scale-sign	3700000	50000	1000000	1000000	normal	3700	50	0.185	50000	50.00	0.185	3700000	185
120	scale-sign	3700000	50000	1000000	1000000	inverted	3700	50	0.185	50000	-50.00	-0.185	3700000	185
121	scale-sign	3700000	-51	1000000	1000	normal	3700	-51	0.188	-51000	-51.000	-0.1887	3700000	188
122	scale-sign	3700000	-51	1000000	1000	inverted	3700	-51	0.188	-51000	51.000	0.1887	3700000	188
123	scale-sign	3700000	51	1000000	1000	normal	3700	51	0.188	51000	51.000	0.1887	3700000	188
124	scale-sign	3700000	51	1000000	1000	inverted	3700	51	0.188	51000	-51.000	-0.1887	3700000	188
125	scale-sign	3700000	-51000	1000000	1000000	normal	3700	-51	0.188	-51000	-51.000	-0.1887	3700000	188
126	scale-sign	3700000	-51000	1000000	1000000	inverted	3700	-51	0.188	-51000	51.000	0.1887	3700000	188
127	scale-sign	3700000	51000	1000000	1000000	normal	3700	51	0.188	51000	51.000	0.1887	3700000	188
128	scale-sign	3700000	51000	1000000	1000000	inverted	3700	51	0.188	51000	-51.000	-0.1887	3700000	188
129	scale-sign	3700000	-895	1000000	1000	normal	3700	-895	3.311	-895000	-895.000	-3.3115	3700000	3311
130	scale-sign	3700000	-895	1000000	1000	inverted	3700	-895	3.311	-895000	895.000	3.3115	3700000	3311
131	scale-sign	3700000	895	1000000	1000	normal	3700	895	3.311	895000	895.000	3.3115	3700000	3311
132	scale-sign	3700000	895	1000000	1000	inverted	3700	895	3.311	895000	-895.000	-3.3115	3700000	3311
133	scale-sign	3700000	-895000	1000000	1000000	normal	3700	-895	3.311	-895000	-895.000	-3.3115	3700000	3311
134	scale-sign	3700000	-895000	1000000	1000000	inverted	3700	-895	3.311	-895000	895.000	3.3115	3700000	3311
135	scale-sign	3700000	895000	1000000	1000000	normal	3700	895	3.311	895000	895.000	3.3115	3700000	3311
136	scale-sign	3700000	895000	1000000	1000000	inverted	3700	895	3.311	895000	-895.000	-3.3115	3700000	3311
137	scale-sign	3700000	-2000	1000000	1000	normal	3700	-2000	7.400	-2000000	-2000	-7.4	3700000	7400
138	scale-sign	3700000	-2000	1000000	1000	inverted	3700	-2000	7.400	-2000000	2000	7.4	3700000	7400
139	scale-sign	3700000	2000	1000000	1000	normal	3700	2000	7.400	2000000	2000	7.4	3700000	7400
140	scale-sign	3700000	2000	1000000	1000	inverted	3700	2000	7.400	2000000	-2000	-7.4	3700000	7400
141	scale-sign	3700000	-2000000	1000000	1000000	normal	3700	-2000	7.400	-2000000	-2000	-7.4	3700000	7400
142	scale-sign	3700000	-2000000	1000000	1000000	inverted	3700	-2000	7.400	-2000000	2000	7.4	3700000	7400
143	scale-sign	3700000	2000000	1000000	1000000	normal	3700	2000	7.400	2000000	2000	7.4	3700000	7400
144	scale-sign	3700000	2000000	1000000	1000000	inverted	3700	2000	7.400	2000000	-2000	-7.4	3700000	7400
145	scale-sign	3700000	-20000	1000000	1000	normal	3700	-20000	74.000	-20000000	-20000	-74.0	3700000	74000
146	scale-sign	3700000	-20000	1000000	1000	inverted	3700	-20000	74.000	-20000000	20000	74.0	3700000	74000
147	scale-sign	3700000	20000	1000000	1000	normal	3700	20000	74.000	20000000	20000	74.0	3700000	74000
148	scale-sign	3700000	20000	1000000	1000	inverted	3700	20000	74.000	20000000	-20000	-74.0	3700000	74000
149	scale-sign	3700000	-20000000	1000000	1000000	normal	3700	-20000	74.000	-20000000	-20000	-74.0	3700000	74000
150	scale-sign	3700000	-20000000	1000000	1000000	inverted	3700	-20000	74.000	-20000000	20000	74.0	3700000	74000
151	scale-sign	3700000	20000000	1000000	1000000	normal	3700	20000	74.000	20000000	20000	74.0	3700000	74000
152	scale-sign	3700000	20000000	1000000	1000000	inverted	3700	20000	74.000	20000000	-20000	-74.0	3700000	74000
153	scale-sign	3700000	-100000	1000000	1000	normal	3700	-100000	370.000	-100000000	-100000	-370.0	3700000	370000
154	scale-sign	3700000	-100000	1000000	1000	inverted	3700	-100000	370.000	-100000000	100000	370.0	3700000	370000
155	scale-sign	3700000	100000	1000000	1000	normal	3700	100000	370.000	100000000	100000	370.0	3700000	370000
156	scale-sign	3700000	100000	1000000	1000	inverted	3700	100000	370.000	100000000	-100000	-370.0	3700000	370000
157	scale-sign	3700000	-100000000	1000000	1000000	normal	3700	-100000	370.000	-100000000	-100000	-370.0	3700000	370000
158	scale-sign	3700000	-100000000	1000000	1000000	inverted	3700	-100000	370.000	-100000000	100000	370.0	3700000	370000
159	scale-sign	3700000	100000000	1000000	1000000	normal	3700	100000	370.000	100000000	100000	370.0	3700000	370000
160	scale-sign	3700000	100000000	1000000	1000000	inverted	3700	100000	370.000	100000000	-100000	-370.0	3700000	370000
161	scale-sign	5000	0	1000	1000	normal	5000	0	0.000	0	0	0	5000000	0
162	scale-sign	5000	0	1000	1000	inverted	5000	0	0.000	0	-0	-0	5000000	0
163	scale-sign	5000	0	1000	1000	normal	5000	0	0.000	0	0	0	5000000	0
164	scale-sign	5000	0	1000	1000	inverted	5000	0	0.000	0	-0	-0	5000000	0
165	scale-sign	5000	0	1000	1000000	normal	5000	0	0.000	0	0	0	5000000	0
166	scale-sign	5000	0	1000	1000000	inverted	5000	0	0.000	0	-0	-0	5000000	0
167	scale-sign	5000	0	1000	1000000	normal	5000	0	0.000	0	0	0	5000000	0
168	scale-sign	5000	0	1000	1000000	inverted	5000	0	0.000	0	-0	-0	5000000	0
169	scale-sign	5000	-1	1000	1000	normal	5000	-1	0.005	-1000	-1.000	-0.005	5000000	5
170	scale-sign	5000	-1	1000	1000	inverted	5000	-1	0.005	-1000	1.000	0.005	5000000	5
171	scale-sign	5000	1	1000	1000	normal	5000	1	0.005	1000	1.000	0.005	5000000	5
172	scale-sign	5000	1	1000	1000	inverted	5000	1	0.005	1000	-1.000	-0.005	5000000	5
173	scale-sign	5000	-1000	1000	1000000	normal	5000	-1	0.005	-1000	-1.000	-0.005	5000000	5
174	scale-sign	5000	-1000	1000	1000000	inverted	5000	-1	0.005	-1000	1.000	0.005	5000000	5
175	scale-sign	5000	1000	1000	1000000	normal	5000	1	0.005	1000	1.000	0.005	5000000	5
176	scale-sign	5000	1000	1000	1000000	inverted	5000	1	0.005	1000	-1.000	-0.005	5000000	5
177	scale-sign	5000	-30	1000	1000	normal	5000	-30	0.150	-30000	-30.00	-0.15	5000000	150
178	scale-sign	5000	-30	1000	1000	inverted	5000	-30	0.150	-30000	30.00	0.15	5000000	150
179	scale-sign	5000	30	1000	1000	normal	5000	30	0.150	30000	30.00	0.15	5000000	150
180	scale-sign	5000	30	1000	1000	inverted	5000	30	0.150	30000	-30.00	-0.15	5000000	150
181	scale-sign	5000	-30000	1000	1000000	normal	5000	-30	0.150	-30000	-30.00	-0.15	5000000	150
182	scale-sign	5000	-30000	1000	1000000	inverted	5000	-30	0.150	-30000	30.00	0.15	5000000	150
183	scale-sign	5000	30000	1000	1000000	normal	5000	30	0.150	30000	30.00	0.15	5000000	150
184	scale-sign	5000	30000	1000	1000000	inverted	5000	30	0.150	30000	-30.00	-0.15	5000000	150
185	scale-sign	5000	-31	1000	1000	normal	5000	-31	0.155	-31000	-31.000	-0.155	5000000	155
186	scale-sign	5000	-31	1000	1000	inverted	5000	-31	0.155	-31000	31.000	0.155	5000000	155
187	scale-sign	5000	31	1000	1000	normal	5000	31	0.155	31000	31.000	0.155	5000000	155
188	scale-sign	5000	31	1000	1000	inverted	5000	31	0.155	31000	-31.000	-0.155	5000000	155
189	scale-sign	5000	-31000	1000	1000000	normal	5000	-31	0.155	-31000	-31.000	-0.155	5000000	155
190	scale-sign	5000	-31000	1000	1000000	inverted	5000	-31	0.155	-31000	31.000	0.155	5000000	155
191	scale-sign	5000	31000	1000	1000000	normal	5000	31	0.155	31000	31.000	0.155	5000000	155
192	scale-sign	5000	31000	1000	1000000	inverted	5000	31	0.155	31000	-31.000	-0.155	5000000	155
193	scale-sign	5000	-50	1000	1000	normal	5000	-50	0.250	-50000	-50.00	-0.25	5000000	250
194	scale-sign	5000	-50	1000	1000	inverted	5000	-50	0.250	-50000	50.00	0.25	5000000	250
195	scale-sign	5000	50	1000	1000	normal	5000	50	0.250	50000	50.00	0.25	5000000	250
196	scale-sign	5000	50	1000	1000	inverted	5000	50	0.250	50000	-50.00	-0.25	5000000	250
197	scale-sign	5000	-50000	1000	1000000	normal	5000	-50	0.250	-50000	-50.00	-0.25	5000000	250
198	scale-sign	5000	-50000	1000	1000000	inverted	5000	-50	0.250	-50000	50.00	0.25	5000000	250
199	scale-sign	5000	50000	1000	1000000	normal	5000	50	0.250	50000	50.00	0.25	5000000	250
200	scale-sign	5000	50000	1000	1000000	inverted	5000	50	0.250	50000	-50.00	-0.25	5000000	250
201	scale-sign	5000	-51	1000	1000	normal	5000	-51	0.255	-51000	-51.000	-0.255	5000000	255
202	scale-sign	5000	-51	1000	1000	inverted	5000	-51	0.255	-51000	51.000	0.255	5000000	255
203	scale-sign	5000	51	1000	1000	normal	5000	51	0.255	51000	51.000	0.255	5000000	255
204	scale-sign	5000	51	1000	1000	inverted	5000	51	0.255	51000	-51.000	-0.255	5000000	255
205	scale-sign	5000	-51000	1000	1000000	normal	5000	-51	0.255	-51000	-51.000	-0.255	5000000	255
206	scale-sign	5000	-51000	1000	1000000	inverted	5000	-51	0.255	-51000	51.000	0.255	5000000	255
207	scale-sign	5000	51000	1000	1000000	normal	5000	51	0.255	51000	51.000	0.255	5000000	255
208	scale-sign	5000	51000	1000	1000000	inverted	5000	51	0.255	51000	-51.000	-0.255	5000000	255
209	scale-sign	5000	-895	1000	1000	normal	5000	-895	4.475	-895000	-895.000	-4.475	5000000	4475
210	scale-sign	5000	-895	1000	1000	inverted	5000	-895	4.475	-895000	895.000	4.475	5000000	4475
211	scale-sign	5000	895	1000	1000	normal	5000	895	4.475	895000	895.000	4.475	5000000	4475
212	scale-sign	5000	895	1000	1000	inverted	5000	895	4.475	895000	-895.000	-4.475	5000000	4475
213	scale-sign	5000	-895000	1000	1000000	normal	5000	-895	4.475	-895000	-895.000	-4.475	5000000	4475
214	scale-sign	5000	-895000	1000	1000000	inverted	5000	-895	4.475	-895000	895.000	4.475	5000000	4475
215	scale-sign	5000	895000	1000	1000000	normal	5000	895	4.475	895000	895.000	4.475	5000000	4475
216	scale-sign	5000	895000	1000	1000000	inverted	5000	895	4.475	895000	-895.000	-4.475	5000000	4475
217	scale-sign	5000	-2000	1000	1000	normal	5000	-2000	10.000	-2000000	-2000	-10	5000000	10000
218	scale-sign	5000	-2000	1000	1000	inverted	5000	-2000	10.000	-2000000	2000	10	5000000	10000
219	scale-sign	5000	2000	1000	1000	normal	5000	2000	10.000	2000000	2000	10	5000000	10000
220	scale-sign	5000	2000	1000	1000	inverted	5000	2000	10.000	2000000	-2000	-10	5000000	10000
221	scale-sign	5000	-2000000	1000	1000000	normal	5000	-2000	10.000	-2000000	-2000	-10	5000000	10000
222	scale-sign	5000	-2000000	1000	1000000	inverted	5000	-2000	10.000	-2000000	2000	10	5000000	10000
223	scale-sign	5000	2000000	1000	1000000	normal	5000	2000	10.000	2000000	2000	10	5000000	10000
224	scale-sign	5000	2000000	1000	1000000	inverted	5000	2000	10.000	2000000	-2000	-10	5000000	10000
225	scale-sign	5000	-20000	1000	1000	normal	5000	-20000	100.000	-20000000	-20000	-100	5000000	100000
226	scale-sign	5000	-20000	1000	1000	inverted	5000	-20000	100.000	-20000000	20000	100	5000000	100000
227	scale-sign	5000	20000	1000	1000	normal	5000	20000	100.000	20000000	20000	100	5000000	100000
228	scale-sign	5000	20000	1000	1000	inverted	5000	20000	100.000	20000000	-20000	-100	5000000	100000
229	scale-sign	5000	-20000000	1000	1000000	normal	5000	-20000	100.000	-20000000	-20000	-100	5000000	100000
230	scale-sign	5000	-20000000	1000	1000000	inverted	5000	-20000	100.000	-20000000	20000	100	5000000	100000
231	scale-sign	5000	20000000	1000	1000000	normal	5000	20000	100.000	20000000	20000	100	5000000	100000
232	scale-sign	5000	20000000	1000	1000000	inverted	5000	20000	100.000	20000000	-20000	-100	5000000	100000
233	scale-sign	5000	-100000	1000	1000	normal	5000	-100000	500.000	-100000000	-100000	-500	5000000	500000
234	scale-sign	5000	-100000	1000	1000	inverted	5000	-100000	500.000	-100000000	100000	500	5000000	500000
235	scale-sign	5000	100000	1000	1000	normal	5000	100000	500.000	100000000	100000	500	5000000	500000
236	scale-sign	5000	100000	1000	1000	inverted	5000	100000	500.000	100000000	-100000	-500	5000000	500000
237	scale-sign	5000	-100000000	1000	1000000	normal	5000	-100000	500.000	-100000000	-100000	-500	5000000	500000
238	scale-sign	5000	-100000000	1000	1000000	inverted	5000	-100000	500.000	-100000000	100000	500	5000000	500000
239	scale-sign	5000	100000000	1000	1000000	normal	5000	100000	500.000	100000000	100000	500	5000000	500000
240	scale-sign	5000	100000000	1000	1000000	inverted	5000	100000	500.000	100000000	-100000	-500	5000000	500000
241	scale-sign	5000000	0	1000000	1000	normal	5000	0	0.000	0	0	0	5000000	0
242	scale-sign	5000000	0	1000000	1000	inverted	5000	0	0.000	0	-0	-0	5000000	0
243	scale-sign	5000000	0	1000000	1000	normal	5000	0	0.000	0	0	0	5000000	0
244	scale-sign	5000000	0	1000000	1000	inverted	5000	0	0.000	0	-0	-0	5000000	0
245	scale-sign	5000000	0	1000000	1000000	normal	5000	0	0.000	0	0	0	5000000	0
246	scale-sign	5000000	0	1000000	1000000	inverted	5000	0	0.000	0	-0	-0	5000000	0
247	scale-sign	5000000	0	1000000	1000000	normal	5000	0	0.000	0	0	0	5000000	0
248	scale-sign	5000000	0	1000000	1000000	inverted	5000	0	0.000	0	-0	-0	5000000	0
249	scale-sign	5000000	-1	1000000	1000	normal	5000	-1	0.005	-1000	-1.000	-0.005	5000000	5
250	scale-sign	5000000	-1	1000000	1000	inverted	5000	-1	0.005	-1000	1.000	0.005	5000000	5
251	scale-sign	5000000	1	1000000	1000	normal	5000	1	0.005	1000	1.000	0.005	5000000	5
252	scale-sign	5000000	1	1000000	1000	inverted	5000	1	0.005	1000	-1.000	-0.005	5000000	5
253	scale-sign	5000000	-1000	1000000	1000000	normal	5000	-1	0.005	-1000	-1.000	-0.005	5000000	5
254	scale-sign	5000000	-1000	1000000	1000000	inverted	5000	-1	0.005	-1000	1.000	0.005	5000000	5
255	scale-sign	5000000	1000	1000000	1000000	normal	5000	1	0.005	1000	1.000	0.005	5000000	5
256	scale-sign	5000000	1000	1000000	1000000	inverted	5000	1	0.005	1000	-1.000	-0.005	5000000	5
257	scale-sign	5000000	-30	1000000	1000	normal	5000	-30	0.150	-30000	-30.00	-0.15	5000000	150
258	scale-sign	5000000	-30	1000000	1000	inverted	5000	-30	0.150	-30000	30.00	0.15	5000000	150
259	scale-sign	5000000	30	1000000	1000	normal	5000	30	0.150	30000	30.00	0.15	5000000	150
260	scale-sign	5000000	30	1000000	1000	inverted	5000	30	0.150	30000	-30.00	-0.15	5000000	150
261	scale-sign	5000000	-30000	1000000	1000000	normal	5000	-30	0.150	-30000	-30.00	-0.15	5000000	150
